agentic_ai | DELETE | /finetune/dataset/{dataset_id}
agentic_ai | DELETE | /finetune/dataset/{dataset_id}/sample/{sample_id}
agentic_ai | DELETE | /history/{session_id}
agentic_ai | DELETE | /inference/vector/{document_id}
agentic_ai | DELETE | /ingest/document/{document_id}
agentic_ai | GET | /finetune/dataset
agentic_ai | GET | /finetune/dataset/{dataset_id}
agentic_ai | GET | /finetune/dataset/{dataset_id}/sample
agentic_ai | GET | /finetune/jobs
agentic_ai | GET | /finetune/jobs/{job_id}
agentic_ai | GET | /history/{session_id}
agentic_ai | POST | /chat/chat
agentic_ai | POST | /chat/stream
agentic_ai | POST | /feedback/feedback
agentic_ai | POST | /finetune/dataset
agentic_ai | POST | /finetune/dataset/{dataset_id}/sample
agentic_ai | POST | /finetune/input/document
agentic_ai | POST | /finetune/input/feedback
agentic_ai | POST | /finetune/jobs
agentic_ai | POST | /finetune/jobs/{job_id}/cancel
agentic_ai | POST | /finetune/jobs/{job_id}/deploy
agentic_ai | POST | /finetune/jobs/{job_id}/evaluate
agentic_ai | POST | /finetune/jobs/{job_id}/start
agentic_ai | POST | /history/{session_id}/message
agentic_ai | POST | /inference/actions
agentic_ai | POST | /inference/check-grammar
agentic_ai | POST | /inference/check-plagiarism
agentic_ai | POST | /inference/content-moderation
agentic_ai | POST | /inference/document-analysis
agentic_ai | POST | /inference/extract-text
agentic_ai | POST | /inference/generate-code
agentic_ai | POST | /inference/generate-content
agentic_ai | POST | /inference/multi-doc-synthesis
agentic_ai | POST | /inference/sentiment-analysis
agentic_ai | POST | /inference/smart-citation
agentic_ai | POST | /inference/summarize
agentic_ai | POST | /inference/synonyms
agentic_ai | POST | /inference/text-transform
agentic_ai | POST | /inference/translate
agentic_ai | POST | /ingest/ingest
agentic_ai | PUT | /history/{session_id}/title
authentication | GET | /auth/google/feedback
authentication | GET | /auth/google/login
authentication | GET | /auth/personal
authentication | POST | /auth/forgot-password
authentication | POST | /auth/passkey/login/hoan-tat
authentication | POST | /auth/passkey/login/start
authentication | POST | /auth/reset-password
authentication | POST | /auth/verify-code
collector | GET | /running-jobs
collector | GET | /statistics
collector | GET | /system-logs
collector | POST | /pause
collector | POST | /trigger
compiler | GET | /soan-thao/{document_id}/comment
compiler | POST | /compile
compiler | POST | /compile
compiler | POST | /export-zip
compiler | POST | /export/{format}
compiler | POST | /format
compiler | POST | /soan-thao/document/{document_id}/suggestion
compiler | POST | /soan-thao/pomodoro
compiler | POST | /soan-thao/{document_id}/ai-suggest
compiler | POST | /soan-thao/{document_id}/analyze-tags
compiler | POST | /soan-thao/{document_id}/auto-save
compiler | POST | /soan-thao/{document_id}/check-grammar
compiler | POST | /soan-thao/{document_id}/check-logic
compiler | POST | /soan-thao/{document_id}/check-plagiarism
compiler | POST | /soan-thao/{document_id}/comment
compiler | POST | /soan-thao/{document_id}/compare-version
compiler | POST | /soan-thao/{document_id}/replace-all
compiler | POST | /soan-thao/{document_id}/submit-review
compiler | POST | /soan-thao/{document_id}/summarize
compiler | POST | /soan-thao/{document_id}/sync-action
compiler | PUT | /soan-thao/comment/{comment_id}/resolve
compiler | PUT | /soan-thao/suggestion/{suggestion_id}/resolve
contact | DELETE | /message/hoi-thoai/{other_user_id}
contact | DELETE | /message/message/{message_id}
contact | GET | /message/cai-dat/{other_user_id}
contact | GET | /message/hoi-thoai
contact | GET | /message/input-tin-nhan/{other_user_id}
contact | GET | /message/message/{other_user_id}
contact | GET | /message/shared-document/{other_user_id}
contact | GET | /message/status-chan/{other_user_id}
contact | GET | /message/tim-kiem/{other_user_id}
contact | POST | /message/block/{other_user_id}
contact | POST | /message/ghim/{message_id}
contact | POST | /message/group
contact | POST | /message/input-tin-nhan/{other_user_id}
contact | POST | /message/message
contact | POST | /message/message/{message_id}/cam-xuc
contact | POST | /message/mute/{other_user_id}
contact | POST | /message/pin-conversation/{other_user_id}
contact | POST | /message/read-message/{other_user_id}
contact | POST | /message/self-destruct/{other_user_id}
contact | POST | /message/share-doc/{receiver_id}
contact | POST | /message/translate/{message_id}
contact | POST | /message/unblock/{other_user_id}
contact | PUT | /message/chinh-sua/{message_id}
content | DELETE | /bookmark/folder/{folder_id}
content | DELETE | /collaboration/invite/{invite_id}
content | DELETE | /collaboration/{collaboration_id}
content | DELETE | /highlight/{highlight_id}
content | DELETE | /pin/{document_id}
content | DELETE | /reading/history
content | DELETE | /reading/history/{document_id}
content | DELETE | /storage/file/{item_id}
content | GET | /bookmark/folder
content | GET | /collaboration/document/{document_id}
content | GET | /collaboration/document/{document_id}/loi-moi-da-gui
content | GET | /collaboration/document/{document_id}/message
content | GET | /collaboration/document/{document_id}/nhiem-vu
content | GET | /collaboration/document/{document_id}/operation
content | GET | /collaboration/document/{document_id}/status-khoa
content | GET | /collaboration/document/{document_id}/truc-tuyen
content | GET | /collaboration/document/{document_id}/version
content | GET | /collaboration/invite
content | GET | /collaboration/task/{task_id}/comment
content | GET | /discovery/classification
content | GET | /discovery/smart-search
content | GET | /discovery/suggestion/ai
content | GET | /discovery/trending
content | GET | /discovery/trending-hashtags
content | GET | /document/d/{slug}
content | GET | /document/document-series/{series_id}
content | GET | /document/xem-truoc/{slug}
content | GET | /document/{document_id}
content | GET | /document/{document_id}/analyze
content | GET | /document/{document_id}/metrics-hoc-thuat
content | GET | /export/{document_id}/pdf
content | GET | /highlight/document/{document_id}
content | GET | /highlight/document/{document_id}/export-tai-lieu
content | GET | /highlight/note
content | GET | /library/list
content | GET | /library/list/{list_id}
content | GET | /publication/{document_id}/doc-hieu
content | GET | /reading/content-zip
content | GET | /reading/document/{document_id}/tim-kiem
content | GET | /reading/goal
content | GET | /reading/history
content | GET | /reading/tree-zip
content | GET | /review/{document_id}
content | GET | /storage/download-zip
content | GET | /storage/list
content | GET | /storage/quota
content | GET | /storage/recent
content | GET | /storage/search
content | GET | /storage/share/{share_token}
content | GET | /upload/storage/{file_path:path}
content | GET | /version/document/{document_id}
content | PATCH | /collaboration/document/{document_id}/quyen-truy-cap
content | PATCH | /collaboration/invite/{invite_id}
content | PATCH | /collaboration/task/{task_id}
content | PATCH | /collaboration/{collaboration_id}/vai-tro
content | POST | /bookmark/folder
content | POST | /bookmark/{document_id}
content | POST | /collaboration/document/{document_id}/chuyen-quyen
content | POST | /collaboration/document/{document_id}/khoa
content | POST | /collaboration/document/{document_id}/ma-moi
content | POST | /collaboration/document/{document_id}/message
content | POST | /collaboration/document/{document_id}/mo-khoa
content | POST | /collaboration/document/{document_id}/nhiem-vu
content | POST | /collaboration/document/{document_id}/ping
content | POST | /collaboration/document/{document_id}/version
content | POST | /collaboration/invite
content | POST | /collaboration/join/{invite_code}
content | POST | /collaboration/task/{task_id}/comment
content | POST | /document/{document_id}/mo-khoa
content | POST | /highlight/document/{document_id}
content | POST | /library/list
content | POST | /library/list/{list_id}/document/{document_id}
content | POST | /pin/{document_id}
content | POST | /reading/goal
content | POST | /reading/progress
content | POST | /review/{document_id}
content | POST | /storage/file
content | POST | /storage/file/{item_id}/chia-se
content | POST | /storage/folder
content | POST | /upload/chunk
content | POST | /upload/document
content | POST | /upload/file
content | POST | /upload/image
content | POST | /version/save/{document_id}
content | POST | /version/{version_id}/restore
content | PUT | /bookmark/folder/{folder_id}
content | PUT | /document/{document_id}
content | PUT | /document/{document_id}/noi-dung
content | PUT | /highlight/{highlight_id}/ghi-chu
content | PUT | /reading/layout
content | PUT | /storage/file/{item_id}
finance | DELETE | /coupon/{coupon_id}
finance | GET | /coupon/kiem-tra
finance | GET | /deposit/check/{order_code}
finance | GET | /wallet/balance
finance | GET | /wallet/history
finance | GET | /wallet/revenue
finance | PATCH | /coupon/{coupon_id}/status
finance | POST | /coupon/{coupon_id}/phe-duyet
finance | POST | /deposit/create-link
finance | POST | /deposit/payos/webhook
finance | POST | /wallet/coupon-code/redeem
finance | POST | /wallet/purchase/document/{document_id}
finance | POST | /wallet/purchase/{purchase_id}/cancel
provision | GET | /quota/check
provision | GET | /quota/config
provision | GET | /quota/me
provision | GET | /user/email/{email}
provision | GET | /user/search
provision | GET | /user/slug/{slug}
provision | GET | /user/{user_id}
